<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.02	22:00:00	1966.275	1967.407	1960.126	1962.524	4804	0	200
2023.04.02	23:00:00	1962.493	1962.650	1956.964	1957.027	4266	0	200
2023.04.03	00:00:00	1957.063	1964.089	1956.739	1962.376	5904	0	200
2023.04.03	01:00:00	1962.372	1964.465	1958.408	1960.229	5791	0	200
2023.04.03	02:00:00	1960.223	1960.315	1952.209	1952.521	4619	0	200
2023.04.03	03:00:00	1952.489	1953.714	1949.542	1951.794	4151	0	200
2023.04.03	04:00:00	1951.801	1952.674	1950.456	1952.541	2949	0	200
2023.04.03	05:00:00	1952.575	1954.071	1951.446	1953.696	3810	0	200
2023.04.03	06:00:00	1953.664	1957.112	1950.821	1954.703	4717	0	200
2023.04.03	07:00:00	1954.699	1961.934	1953.236	1961.794	4180	0	200
2023.04.03	08:00:00	1961.785	1966.379	1961.181	1965.759	4110	0	200
2023.04.03	09:00:00	1965.792	1966.986	1963.078	1966.077	3528	0	200
2023.04.03	10:00:00	1966.058	1972.445	1965.987	1972.432	4349	0	200
2023.04.03	11:00:00	1972.440	1978.705	1971.175	1978.632	5305	0	200
2023.04.03	12:00:00	1978.600	1979.906	1975.670	1978.979	6817	0	200
2023.04.03	13:00:00	1979.017	1980.769	1972.343	1975.981	8448	0	200
2023.04.03	14:00:00	1976.081	1989.817	1976.081	1985.986	13323	0	200
2023.04.03	15:00:00	1986.020	1990.476	1983.864	1987.944	6755	0	200
2023.04.03	16:00:00	1987.942	1990.440	1986.808	1986.991	5092	0	200
2023.04.03	17:00:00	1986.988	1986.988	1981.862	1985.032	5568	0	200
2023.04.03	18:00:00	1985.020	1985.253	1982.168	1982.379	4241	0	200
2023.04.03	19:00:00	1982.412	1986.037	1982.234	1985.109	3767	0	200
2023.04.03	20:00:00	1985.074	1985.909	1983.571	1984.230	1654	0	200
2023.04.03	22:00:00	1984.204	1985.463	1983.683	1983.941	1268	0	200
2023.04.03	23:00:00	1983.930	1985.475	1983.558	1984.935	1531	0	200
2023.04.04	00:00:00	1984.929	1985.267	1982.168	1982.873	3214	0	200
2023.04.04	01:00:00	1982.904	1983.555	1977.836	1978.217	3991	0	200
2023.04.04	02:00:00	1978.234	1981.388	1978.055	1980.808	3238	0	200
2023.04.04	03:00:00	1980.795	1980.826	1977.777	1978.088	2436	0	200
2023.04.04	04:00:00	1978.080	1980.709	1977.861	1979.744	2987	0	200
2023.04.04	05:00:00	1979.713	1980.985	1978.115	1978.818	3162	0	200
2023.04.04	06:00:00	1978.852	1982.336	1976.821	1981.561	4288	0	200
2023.04.04	07:00:00	1981.520	1983.754	1978.751	1982.139	4543	0	200
2023.04.04	08:00:00	1982.134	1984.180	1980.236	1980.650	4382	0	200
2023.04.04	09:00:00	1980.627	1983.769	1980.170	1982.937	3684	0	200
2023.04.04	10:00:00	1982.908	1984.281	1981.302	1982.113	3563	0	200
2023.04.04	11:00:00	1982.081	1982.455	1978.473	1981.953	3924	0	200
2023.04.04	12:00:00	1981.987	1985.627	1981.440	1983.604	6337	0	200
2023.04.04	13:00:00	1983.594	1993.193	1983.372	1992.535	8933	0	200
2023.04.04	14:00:00	1992.438	2024.952	1992.393	2016.082	26039	0	200
2023.04.04	15:00:00	2016.112	2023.137	2015.569	2020.205	11267	0	200
2023.04.04	16:00:00	2020.174	2024.982	2019.597	2020.697	7728	0	200
2023.04.04	17:00:00	2020.707	2020.892	2017.828	2018.324	5349	0	200
2023.04.04	18:00:00	2018.291	2021.543	2017.851	2021.253	4058	0	200
2023.04.04	19:00:00	2021.287	2022.433	2020.295	2021.832	4084	0	200
2023.04.04	20:00:00	2021.800	2022.024	2020.098	2020.352	1926	0	200
2023.04.04	22:00:00	2021.050	2021.558	2019.708	2020.555	2420	0	200
2023.04.04	23:00:00	2020.572	2023.587	2020.566	2021.734	2521	0	200
2023.04.05	00:00:00	2021.748	2022.433	2019.342	2019.490	3409	0	200
2023.04.05	01:00:00	2019.521	2021.869	2019.521	2020.507	3082	0	200
2023.04.05	02:00:00	2020.468	2025.234	2020.144	2023.939	3691	0	200
2023.04.05	03:00:00	2023.943	2024.042	2021.906	2023.003	2844	0	200
2023.04.05	04:00:00	2022.993	2023.664	2022.077	2023.333	2870	0	200
2023.04.05	05:00:00	2023.331	2024.782	2022.785	2024.226	2545	0	200
2023.04.05	06:00:00	2024.287	2026.285	2022.949	2024.388	4793	0	200
2023.04.05	07:00:00	2024.354	2028.364	2022.856	2025.362	4905	0	200
2023.04.05	08:00:00	2025.331	2028.122	2023.267	2023.973	4228	0	200
2023.04.05	09:00:00	2023.998	2025.141	2021.773	2024.502	3936	0	200
2023.04.05	10:00:00	2024.504	2025.112	2021.749	2022.253	3228	0	200
2023.04.05	11:00:00	2022.286	2024.465	2021.468	2022.892	3862	0	200
2023.04.05	12:00:00	2022.928	2031.968	2022.098	2031.466	9187	0	200
2023.04.05	13:00:00	2031.464	2032.046	2020.998	2022.620	11843	0	200
2023.04.05	14:00:00	2022.654	2031.192	2009.919	2018.765	18963	0	200
2023.04.05	15:00:00	2018.795	2022.929	2015.902	2021.692	10204	0	200
2023.04.05	16:00:00	2021.674	2023.895	2019.618	2021.319	6271	0	200
2023.04.05	17:00:00	2021.285	2021.984	2019.064	2020.980	4717	0	200
2023.04.05	18:00:00	2021.011	2023.297	2020.625	2023.083	3472	0	200
2023.04.05	19:00:00	2023.117	2023.260	2020.587	2021.005	3937	0	200
2023.04.05	20:00:00	2021.043	2021.642	2020.105	2020.444	1664	0	200
2023.04.05	22:00:00	2020.709	2021.385	2018.686	2020.366	1331	0	200
2023.04.05	23:00:00	2020.364	2021.040	2020.103	2020.287	1567	0	200
2023.04.06	00:00:00	2020.269	2020.436	2016.995	2017.028	3169	0	200
2023.04.06	01:00:00	2017.029	2017.062	2012.514	2012.636	5314	0	200
2023.04.06	02:00:00	2012.641	2013.229	2007.666	2010.935	4447	0	200
2023.04.06	03:00:00	2010.942	2012.192	2010.080	2011.302	2830	0	200
2023.04.06	04:00:00	2011.296	2013.854	2010.468	2013.592	2398	0	200
2023.04.06	05:00:00	2013.567	2015.988	2011.946	2015.663	3495	0	200
2023.04.06	06:00:00	2015.670	2016.868	2011.790	2013.705	4551	0	200
2023.04.06	07:00:00	2013.673	2018.078	2012.646	2016.346	4860	0	200
2023.04.06	08:00:00	2016.342	2019.624	2014.795	2017.337	4263	0	200
2023.04.06	09:00:00	2017.352	2020.388	2017.112	2019.564	3669	0	200
2023.04.06	10:00:00	2019.553	2020.773	2017.547	2020.278	3449	0	200
2023.04.06	11:00:00	2020.267	2020.907	2017.062	2018.474	3806	0	200
2023.04.06	12:00:00	2018.437	2020.681	2011.189	2012.900	8549	0	200
2023.04.06	13:00:00	2012.866	2014.167	2000.810	2003.532	11196	0	200
2023.04.06	14:00:00	2003.600	2012.049	2001.308	2011.811	8683	0	200
2023.04.06	15:00:00	2011.801	2012.975	2009.070	2011.174	5586	0	200
2023.04.06	16:00:00	2011.138	2014.900	2010.714	2011.654	4557	0	200
2023.04.06	17:00:00	2011.666	2012.468	2008.686	2009.946	3927	0	200
2023.04.06	18:00:00	2009.924	2011.512	2008.181	2009.176	3631	0	200
2023.04.06	19:00:00	2009.195	2009.394	2006.197	2006.417	3236	0	200
2023.04.06	20:00:00	2006.450	2008.116	2005.752	2007.761	2001	0	200
2023.04.09	22:00:00	1997.006	2006.495	1995.817	2005.483	3386	0	200
2023.04.09	23:00:00	2005.514	2005.988	2004.763	2005.497	2337	0	200
2023.04.10	00:00:00	2005.529	2005.860	1997.628	1998.234	3989	0	200
2023.04.10	01:00:00	1998.238	2000.655	1995.336	1997.032	4467	0	200
2023.04.10	02:00:00	1997.064	1997.251	1988.663	1991.080	4522	0	200
2023.04.10	03:00:00	1991.088	1992.879	1990.315	1990.856	2609	0	200
2023.04.10	04:00:00	1990.886	1993.697	1989.475	1992.115	2501	0	200
2023.04.10	05:00:00	1992.082	1995.117	1991.342	1994.480	3031	0	200
2023.04.10	06:00:00	1994.482	1996.299	1991.671	1995.822	3510	0	200
2023.04.10	07:00:00	1995.789	1997.570	1994.957	1997.433	3584	0	200
2023.04.10	08:00:00	1997.403	1999.282	1995.905	1997.300	3064	0	200
2023.04.10	09:00:00	1997.274	2001.861	1996.947	2000.629	2851	0	200
2023.04.10	10:00:00	2000.596	2002.760	1999.850	2001.882	3177	0	200
2023.04.10	11:00:00	2001.851	2002.935	1999.989	2001.556	3883	0	200
2023.04.10	12:00:00	2001.526	2001.961	1989.085	1989.469	8364	0	200
2023.04.10	13:00:00	1989.439	1994.356	1985.979	1988.090	13128	0	200
2023.04.10	14:00:00	1988.129	1992.010	1981.436	1987.504	9360	0	200
2023.04.10	15:00:00	1987.534	1990.049	1987.163	1988.632	5511	0	200
2023.04.10	16:00:00	1988.629	1990.903	1987.112	1989.730	4423	0	200
2023.04.10	17:00:00	1989.700	1991.096	1987.989	1988.975	4484	0	200
2023.04.10	18:00:00	1988.954	1990.813	1987.588	1990.383	3377	0	200
2023.04.10	19:00:00	1990.366	1992.794	1990.213	1991.527	3121	0	200
2023.04.10	20:00:00	1991.558	1991.694	1990.771	1991.288	1140	0	200
2023.04.10	22:00:00	1991.293	1991.543	1990.342	1991.368	1137	0	200
2023.04.10	23:00:00	1991.354	1992.486	1991.012	1992.389	1355	0	200
2023.04.11	00:00:00	1992.356	1995.382	1992.309	1993.166	3378	0	200
2023.04.11	01:00:00	1993.149	1993.388	1988.773	1991.155	3725	0	200
2023.04.11	02:00:00	1991.125	1997.948	1991.040	1997.736	4357	0	200
2023.04.11	03:00:00	1997.703	1998.128	1996.420	1997.518	2629	0	200
2023.04.11	04:00:00	1997.509	2000.008	1997.339	1999.733	2695	0	200
2023.04.11	05:00:00	1999.737	2001.532	1998.674	1999.031	3233	0	200
2023.04.11	06:00:00	1998.999	2001.831	1998.319	1999.193	4570	0	200
2023.04.11	07:00:00	1999.159	2003.621	1997.754	2002.035	4397	0	200
2023.04.11	08:00:00	2002.003	2007.410	2001.226	2004.554	4275	0	200
2023.04.11	09:00:00	2004.523	2005.387	2002.486	2004.493	3432	0	200
2023.04.11	10:00:00	2004.495	2004.928	2001.375	2004.376	3755	0	200
2023.04.11	11:00:00	2004.345	2004.345	1999.345	2000.429	3903	0	200
2023.04.11	12:00:00	2000.418	2002.526	1998.165	1998.531	5028	0	200
2023.04.11	13:00:00	1998.563	2002.432	1995.551	2001.408	6883	0	200
2023.04.11	14:00:00	2001.378	2004.647	1999.692	2002.438	6228	0	200
2023.04.11	15:00:00	2002.443	2006.195	2001.580	2004.132	4956	0	200
