Time,Ambient Temperature (?C),Relative Humidity (%)
6:00:00,22.32,88.36
6:01:00,22.37,88.27
6:02:00,22.39,88.26
6:03:00,22.41,88.17
6:04:00,22.41,88.14
6:05:00,22.31,88.1
6:06:00,22.26,87.84
6:07:00,22.15,87.76
6:08:00,22.07,88.11
6:09:00,21.98,88.45
6:10:00,21.95,88.65
6:11:00,21.99,89.11
6:12:00,22.02,89.45
6:13:00,22.07,89.57
6:14:00,22.13,89.81
6:15:00,22.17,89.81
6:16:00,22.17,89.85
6:17:00,22.16,89.97
6:18:00,22.19,89.87
6:19:00,22.2,90.14
6:20:00,22.18,90.03
6:21:00,22.22,89.9
6:22:00,22.3,90
6:23:00,22.37,89.51
6:24:00,22.44,89.25
6:25:00,22.42,89.12
6:26:00,22.52,88.28
6:27:00,22.56,88.01
6:28:00,22.58,87.69
6:29:00,22.62,87.27
6:30:00,22.75,87.04
6:31:00,22.83,86.67
6:32:00,22.86,86.6
6:33:00,22.86,86.03
6:34:00,22.87,85.89
6:35:00,22.87,85.76
6:36:00,22.87,85.65
6:37:00,22.9,85.5
6:38:00,22.92,85.54
6:39:00,22.94,85.45
6:40:00,22.96,85.11
6:41:00,22.99,84.75
6:42:00,23.01,85.08
6:43:00,23.07,85.15
6:44:00,23.14,85.06
6:45:00,23.21,85.52
6:46:00,23.25,86.14
6:47:00,23.23,86.26
6:48:00,23.24,86.62
6:49:00,23.33,86.56
6:50:00,23.42,86.83
6:51:00,23.44,86.29
6:52:00,23.46,86.15
6:53:00,23.46,85.27
6:54:00,23.35,84.77
6:55:00,23.3,84.5
6:56:00,23.28,84.82
6:57:00,23.29,85.1
6:58:00,23.36,84.51
6:59:00,23.42,84.03
7:00:00,23.48,83.87
7:01:00,23.51,82.84
7:02:00,23.51,82.26
7:03:00,23.49,81.65
7:04:00,23.47,81.54
7:05:00,23.44,81.8
7:06:00,23.43,82.05
7:07:00,23.42,82.36
7:08:00,23.44,82.44
7:09:00,23.42,82.64
7:10:00,23.43,83.01
7:11:00,23.42,82.89
7:12:00,23.42,82.82
7:13:00,23.44,82.9
7:14:00,23.45,82.86
7:15:00,23.48,83.45
7:16:00,23.56,83.61
7:17:00,23.63,83.54
7:18:00,23.65,83.22
7:19:00,23.68,83.05
